,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,0.000015813,695700000.0,1.989e+30,3.7946234631306594e+41
1,1,Sirius,8.6,1460970000.0,3.4011899999999995e+30,5.28374212787636e+41
2,2,Canopus,310,10435500000.0,1.41219e+32,1.2752464585094437e+44
3,3,Alpha Centauri,4.4,765270000.0000001,2.3867999999999998e+30,4.967507079007408e+41
4,4,Arcturus,37,765270000.0000001,5.1713999999999995e+31,2.3319686009784778e+44
5,5,Vega,25,1530540000.0000002,5.3703e+30,1.2574002293737507e+42
6,6,Capella,43,1808820000.0,2.3868e+31,2.1016376103492886e+43
7,7,Rigel,860,16001100000.0,1.5693210000000001e+32,1.0270577360398094e+44
8,8,Procyon,11.4,1043550000.0,3.7790999999999997e+30,9.132393801267786e+41
9,9,Betelgeuse,640,13914000000.0,1.8895499999999998e+33,1.7123238377377107e+46
10,10,Achernar,144,4661190000.0,1.84977e+31,4.898462437704041e+42
11,11,Hadar,390,7304850000.0,1.7105399999999998e+31,2.672860488887081e+42
12,12,Altair,17,1252260000.0,3.5802e+30,6.830322233635188e+41
13,13,Acrux,320,12522600000.0,1.77021e+31,1.6698451361921084e+42
14,14,Aldebaran,65,1043550000.0,8.7516e+31,4.897594016413973e+44
15,15,Antares,600,8348400000.0,1.35252e+33,1.4621949077930139e+46
16,16,Spica,260,7951851000.0,1.4857829999999998e+31,1.8525232231304247e+42
17,17,Pollux,34,1321830000.0,1.75032e+31,1.5466086367623066e+43
18,18,Fomalhaut,25,1321830000.0,3.5802e+30,6.4708315897596515e+41
19,19,Deneb,"2,600",13218300000.0,4.0376699999999995e+32,8.230138857481649e+44
20,20,Mimosa,350,11131200000.0,1.67076e+31,1.673428947240621e+42
21,21,Regulus,77,2643660000.0,6.1659e+30,9.596403021233064e+41
22,22,Adhara,430,8696250000.0,2.7846e+31,5.949969590188875e+42
23,23,Shaula,700,10087650000.0,1.75032e+31,2.0265906274816432e+42
24,24,Castor,52,1947959999.9999998,4.7735999999999997e+30,7.806082552725929e+41
25,25,Gacrux,88,1043550000.0,1.67076e+32,1.7849908770566618e+45
26,26,Bellatrix,240,5983020000.0,1.15362e+31,1.4843155034850626e+42
27,27,Elnath,130,3478500000.0,8.3538e+30,1.3387431577924968e+42
28,28,Miaplacidus,110,2434950000.0,1.3525199999999998e+31,5.013239683861761e+42
29,29,Alnilam,"2,000",22262400000.0,8.3538e+31,2.0917861840507758e+43
30,30,Gamma Velorum,"1,100",6261300000.0,1.1934e+31,1.5178493852522638e+42
31,31,Alnair,101,2782800000.0,6.762599999999999e+30,1.0966461808447603e+42
32,32,Alioth,81,2017530000.0,8.3538e+30,2.3081778582629255e+42
33,33,Alnitak,1050,22958100000.0,3.978e+31,4.599543591673526e+42
34,34,Dubhe,120,2956725000.0,5.967e+31,8.035673216041396e+43
35,35,Mirfak,590,5913450000.0,1.3525199999999999e+32,2.0642751639430784e+44
36,36,Wezen,"1,600",11826900000.0,3.978e+32,8.928525795601552e+44
37,37,Sargas,270,3965490000.0,5.1713999999999995e+31,4.500290282590044e+43
38,38,Kaus Australis,140,2434950000.0,1.3525199999999998e+31,5.013239683861761e+42
39,39,Avior,630,6261300000.0,2.5857e+32,7.125459614100906e+44
40,40,Alkaid,104,4243769999.9999995,6.762599999999999e+30,7.191122497342692e+41
41,41,Menkalinan,81,1662723000.0,5.50953e+30,1.2182329025211397e+42
42,42,Atria,390,4869900000.0,1.8298799999999998e+32,4.5882418559911284e+44
43,43,Alhena,109,1947959999.9999998,6.563699999999999e+30,1.4758374826247452e+42
44,44,Peacock,180,4104630000.0000005,9.547199999999999e+30,1.481832620178481e+42
45,45,Alsephina[2],80,1669680000.0,5.7681e+30,1.3296993052053686e+42
46,46,Mirzam,500,9391950000.0,1.989e+31,2.8108321949116e+42
47,47,Polaris,430,3756780000.0000005,7.757099999999999e+31,1.0688189421151353e+44
48,48,Alphard,180,2087100000.0,9.945e+31,3.16218621927555e+44
49,49,Scheat,196,1460970000.0,1.88955e+32,1.6307846073692473e+45
50,50,Almaaz,653,10435500000.0,2.7846e+32,4.958307991824062e+44
51,51,Rasalgethi,360,1947959999.9999998,5.5692e+32,1.0624945696765848e+46
52,52,Tau Ceti,11.9,544733100.0,1.776177e+30,3.864647108620794e+41
53,53,Delta Pavonis,19.92,689438700.0,2.4265799999999998e+30,5.699210456633374e+41
54,54,Ran,10.48,570474000.0,1.47186e+30,2.534068059037011e+41
55,55,V382 Carinae,"8,900",13914000000.0,9.64665e+32,4.462951520574547e+45
56,56,Eta Carinae,"7,500",69570000000.0,1.7523089999999998e+33,2.945238741766956e+45
57,57,Delta Cephei,887,3130650000.0,8.85105e+31,1.669845136192109e+44
58,58,Mu Cephei,"6,000",13357440000.0,1.933308e+33,1.8672393406200193e+46
59,59,Titawin,44.25,883539000.0,2.94372e+30,6.544679711528658e+41
60,60,Rho Cassiopeiae,"8,154",15305400000.0,1.5912e+33,1.1038904620016465e+46
61,61,P Cygni,"5,545",20871000000.0,1.51164e+32,7.30591504101423e+43
62,62,VV Cephei,"4,900",12661740000.0,1.49175e+33,1.1727888450609868e+46
63,63,61 Cygni,11.41,486989999.99999994,1.322685e+30,2.397253372832795e+41
64,64,R Doradus,178,556560000.0,5.92722e+32,4.2122217752481883e+46
65,65,Polaris Australis,281,1106163000.0,7.43886e+30,3.338218563074618e+42
66,66,R Coronae Borealis,"4,566",591345000.0,1.69065e+32,3.22542994366106e+45
67,67,54 Piscium,36.1,528732000.0,1.8696599999999998e+30,4.411749068450329e+41
68,68,Mira,300,834840000.0,7.359299999999999e+32,4.3290329341882265e+46
69,69,RW Cephei,"14,000",9670230000.0,2.303262e+33,3.66075788317521e+46
70,70,Lacaille 8760,12.87,417420000.0,1.01439e+30,1.644969271267141e+41
71,71,V838 Monocerotis,"19,896",347850000.0,8.950499999999999e+32,1.536822502567917e+47
72,72,HD 140283,190,1391400000.0,2.7846e+30,3.7187309938680454e+41
73,73,II Pegasi,130,556560000.0,6.762599999999999e+30,5.4832309042238006e+42
